filename,kappa,c,logL,detector,duration,sample_rate,filepath
H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5,0.0,0.0,-576109.5866828094,H1,4096,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5,0.0,0.75,-576109.5866828094,H1,4096,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5,1.0,0.0,-127969.66164897404,H1,4096,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5,1.0,0.75,-127406.36246766004,H1,4096,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167557889-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5,0.0,0.0,-576225.0096522261,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5
H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5,0.0,0.75,-576225.0096522261,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5
H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5,1.0,0.0,-127951.80331186448,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5
H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5,1.0,0.75,-127389.85690568895,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1167559921-32.hdf5
H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5,0.0,0.0,-576093.7058996045,H1,4096,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5,0.0,0.75,-576093.7058996045,H1,4096,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5,1.0,0.0,-127971.43411634874,H1,4096,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5,1.0,0.75,-127407.90516802992,H1,4096,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187527209-4096.hdf5
H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5,0.0,0.0,-577405.7646523974,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5
H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5,0.0,0.75,-577405.7646523974,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5
H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5,1.0,0.0,-127170.0520156772,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5
H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5,1.0,0.75,-126598.03899410756,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1187529241-32.hdf5
H-H1_GWOSC_4KHZ_R1-1253509418-32.hdf5,0.0,0.0,-576195.8477358456,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1253509418-32.hdf5
H-H1_GWOSC_4KHZ_R1-1253509418-32.hdf5,0.0,0.75,-576195.8477358456,H1,32,4096.0,data\H-H1_GWOSC_4KHZ_R1-1253509418-32.hdf5
